Date,Open
2020-07-06,5000.0
2020-07-07,5125.0
2020-07-08,5050.0
2020-07-09,5350.0
2020-07-10,5250.0
2020-07-13,5250.0
2020-07-14,5300.0
2020-07-15,5350.0
2020-07-16,5275.0
2020-07-17,5275.0
2020-07-20,5175.0
2020-07-21,5150.0
2020-07-22,5375.0
2020-07-23,5475.0
2020-07-24,5700.0
2020-07-27,5625.0
2020-07-28,5900.0
2020-07-29,5850.0
2020-07-30,5725.0
2020-08-03,5850.0
2020-08-04,5525.0
2020-08-05,5550.0
2020-08-06,5700.0
2020-08-07,5700.0
2020-08-10,5800.0
2020-08-11,5825.0
2020-08-12,6000.0
2020-08-13,6250.0
2020-08-14,6075.0
2020-08-18,6025.0
2020-08-19,6175.0
2020-08-24,6050.0
2020-08-25,6050.0
2020-08-26,6250.0
2020-08-27,6350.0
2020-08-28,6275.0
2020-08-31,6225.0
2020-09-01,5975.0
2020-09-02,6125.0
2020-09-03,6075.0
2020-09-04,5950.0
2020-09-07,5925.0
2020-09-08,5900.0
2020-09-09,5900.0
2020-09-10,5525.0
2020-09-11,5050.0
2020-09-14,5475.0
2020-09-15,5750.0
2020-09-16,5750.0
2020-09-17,5600.0
2020-09-18,5575.0
2020-09-21,5575.0
2020-09-22,5300.0
2020-09-23,5300.0
2020-09-24,5050.0
2020-09-25,5200.0
2020-09-28,5400.0
2020-09-29,5200.0
2020-09-30,5100.0
2020-10-01,5000.0
2020-10-02,5175.0
2020-10-05,5250.0
2020-10-06,5500.0
2020-10-07,5400.0
2020-10-08,5550.0
2020-10-09,5450.0
2020-10-12,5575.0
2020-10-13,5625.0
2020-10-14,5725.0
2020-10-15,5700.0
2020-10-16,5600.0
2020-10-19,5600.0
2020-10-20,5725.0
2020-10-21,5675.0
2020-10-22,5500.0
2020-10-23,5525.0
2020-10-26,5625.0
2020-10-27,5750.0
2020-11-02,5675.0
2020-11-03,5975.0
2020-11-04,5950.0
2020-11-05,5875.0
2020-11-06,5975.0
2020-11-09,6250.0
2020-11-10,6400.0
2020-11-11,6425.0
2020-11-12,6375.0
2020-11-13,6100.0
2020-11-16,6300.0
2020-11-17,6275.0
2020-11-18,6150.0
2020-11-19,6250.0
2020-11-20,6275.0
2020-11-23,6300.0
2020-11-24,6450.0
2020-11-25,6500.0
2020-11-26,6600.0
2020-11-27,6775.0
2020-11-30,6550.0
2020-12-01,6325.0
2020-12-02,6525.0
2020-12-03,6650.0
2020-12-04,6500.0
2020-12-07,6675.0
2020-12-08,6675.0
2020-12-10,6775.0
2020-12-11,6850.0
2020-12-14,6725.0
2020-12-15,6700.0
2020-12-16,6800.0
2020-12-17,6775.0
2020-12-18,6800.0
2020-12-21,6775.0
2020-12-22,6575.0
2020-12-23,6500.0
2020-12-28,6500.0
2020-12-29,6575.0
2020-12-30,6525.0
2021-01-04,6350.0
2021-01-05,6550.0
2021-01-06,6425.0
2021-01-07,6450.0
2021-01-08,6475.0
2021-01-11,6575.0
2021-01-12,6900.0
2021-01-13,7050.0
2021-01-14,7050.0
2021-01-15,6875.0
2021-01-18,6600.0
2021-01-19,7000.0
2021-01-20,7000.0
2021-01-21,7375.0
2021-01-22,7275.0
2021-01-25,7250.0
2021-01-26,7300.0
2021-01-27,7400.0
2021-01-28,7150.0
2021-01-29,7100.0
2021-02-01,6650.0
2021-02-02,6800.0
2021-02-03,6600.0
2021-02-04,6575.0
2021-02-05,6700.0
2021-02-08,6600.0
2021-02-09,6600.0
2021-02-10,6575.0
2021-02-11,6550.0
2021-02-15,6550.0
2021-02-16,6500.0
2021-02-17,6450.0
2021-02-18,6250.0
2021-02-19,6250.0
2021-02-22,6450.0
2021-02-23,6300.0
2021-02-24,6350.0
2021-02-25,6425.0
2021-02-26,6175.0
2021-03-01,6225.0
2021-03-02,6650.0
2021-03-03,6675.0
2021-03-04,6625.0
2021-03-05,6525.0
2021-03-08,6550.0
2021-03-09,3188.0
2021-03-10,3250.0
2021-03-12,3275.0
2021-03-15,3388.0
2021-03-16,3325.0
2021-03-17,3300.0
2021-03-18,3313.0
2021-03-19,3400.0
2021-03-22,3375.0
2021-03-23,3375.0
2021-03-24,3250.0
2021-03-25,3225.0
2021-03-26,3225.0
2021-03-29,3200.0
2021-03-30,3200.0
2021-03-31,3125.0
2021-04-01,3125.0
2021-04-05,3150.0
2021-04-06,3113.0
2021-04-07,3150.0
2021-04-08,3125.0
2021-04-09,3188.0
2021-04-12,3213.0
2021-04-13,3100.0
2021-04-14,3175.0
2021-04-15,3200.0
2021-04-16,3175.0
2021-04-19,3125.0
2021-04-20,3100.0
2021-04-21,3075.0
2021-04-22,3088.0
2021-04-23,3025.0
2021-04-26,3050.0
2021-04-27,2988.0
2021-04-28,3050.0
2021-04-29,3113.0
2021-04-30,3113.0
2021-05-03,3050.0
2021-05-04,3025.0
2021-05-05,3075.0
2021-05-06,3063.0
2021-05-07,3063.0
2021-05-10,3013.0
2021-05-11,3000.0
2021-05-17,2988.0
2021-05-18,2988.0
2021-05-19,2900.0
2021-05-20,2825.0
2021-05-21,2863.0
2021-05-24,2938.0
2021-05-25,2888.0
2021-05-27,3000.0
2021-05-28,2913.0
2021-05-31,2938.0
2021-06-02,3075.0
2021-06-03,3088.0
2021-06-04,3125.0
2021-06-07,3100.0
2021-06-08,3075.0
2021-06-09,3038.0
2021-06-10,3088.0
2021-06-11,3138.0
2021-06-14,3150.0
2021-06-15,3150.0
2021-06-16,3163.0
2021-06-17,3125.0
2021-06-18,3088.0
2021-06-21,3050.0
2021-06-22,3038.0
2021-06-23,3113.0
2021-06-24,3050.0
2021-06-25,3000.0
2021-06-28,2913.0
2021-06-29,2925.0
2021-06-30,2925.0
2021-07-01,2975.0
2021-07-02,2988.0
2021-07-05,2988.0
2021-07-06,2950.0
2021-07-07,2888.0
2021-07-08,2925.0
2021-07-09,2950.0
2021-07-12,2938.0
2021-07-13,2925.0
2021-07-14,2900.0
2021-07-15,2863.0
2021-07-16,2938.0
2021-07-19,2900.0
2021-07-21,2913.0
2021-07-22,2988.0
2021-07-23,3000.0
2021-07-26,2988.0
2021-07-27,2925.0
2021-07-28,2875.0
2021-07-29,2950.0
2021-07-30,2913.0
2021-08-02,2888.0
2021-08-03,2850.0
2021-08-04,2913.0
2021-08-05,2938.0
2021-08-06,3038.0
2021-08-09,3000.0
2021-08-10,2900.0
2021-08-12,2938.0
2021-08-13,2988.0
2021-08-16,3000.0
2021-08-18,3000.0
2021-08-19,3050.0
2021-08-20,2950.0
2021-08-23,2950.0
2021-08-24,2975.0
2021-08-25,2938.0
2021-08-26,2925.0
2021-08-27,2913.0
2021-08-30,2925.0
2021-08-31,3000.0
2021-09-01,3050.0
2021-09-02,3025.0
2021-09-03,3050.0
2021-09-06,3100.0
2021-09-07,3125.0
2021-09-08,3150.0
2021-09-09,3150.0
2021-09-10,3138.0
2021-09-13,3050.0
2021-09-14,3075.0
2021-09-15,3088.0
2021-09-16,3088.0
2021-09-17,3063.0
2021-09-20,3013.0
2021-09-21,3013.0
2021-09-22,2988.0
2021-09-23,3063.0
2021-09-24,3038.0
2021-09-27,3000.0
2021-09-28,2975.0
2021-09-29,2975.0
2021-09-30,3025.0
2021-10-01,3075.0
2021-10-04,3088.0
2021-10-05,3225.0
2021-10-06,3238.0
2021-10-07,3325.0
2021-10-08,3363.0
