ID Lokasi (Referensi Lokasi),Waktu dalam UTC,Suhu Udara (rata-rata) Minimum C,Suhu Udara (rata-rata) Maksimum %,Kelembapan Udara (rata-rata) Minimum %,Kelembapan Udara (rata-rata) Maksimum %,Kelembapan Udara dalam %,Suhu Udara dalam °C,Cuaca berupa kode cuaca,Arah Angin berupa CARD,Kecepatan Angin dalam km/jam
501273,21/10/2024 15:00,,,,,86,25,3,S,9
501273,21/10/2024 18:00,,,,,91,23,4,S,9
501273,21/10/2024 21:00,,,,,91,23,4,SW,11
501273,22/10/2024 00:00,,,,,81,26,1,SW,11
501273,22/10/2024 06:00,,,,,69,28,4,SW,11
501273,22/10/2024 12:00,23.0,28.0,69.0,91.0,91,24,4,SW,10
501273,22/10/2024 18:00,,,,,90,23,4,SW,10
501273,23/10/2024 00:00,,,,,88,24,4,S,11
501273,23/10/2024 06:00,,,,,69,28,1,S,11
501273,23/10/2024 12:00,23.0,28.0,69.0,93.0,89,24,1,SW,9
501273,23/10/2024 18:00,,,,,93,23,1,SW,9
501273,24/10/2024 00:00,,,,,80,26,1,SW,9
501273,24/10/2024 06:00,,,,,64,29,1,SW,9
501273,24/10/2024 12:00,22.0,29.0,64.0,92.0,86,25,1,S,6
501273,24/10/2024 18:00,,,,,92,22,4,S,6
501273,25/10/2024 00:00,,,,,74,26,1,S,2
501274,15/10/2024 00:00,,,,,71,19,4,SE,6
501274,15/10/2024 01:00,,,,,61,21,4,SE,6
501274,15/10/2024 02:00,,,,,57,22,4,SE,5
501274,15/10/2024 03:00,,,,,56,22,4,SE,5
501274,15/10/2024 04:00,,,,,54,23,4,SE,5
501274,15/10/2024 05:00,,,,,51,23,4,SE,2
501274,15/10/2024 06:00,,,,,50,23,4,SE,2
501274,15/10/2024 07:00,,,,,48,22,4,SE,2
501274,15/10/2024 08:00,,,,,50,22,4,SE,3
501274,15/10/2024 09:00,,,,,52,21,4,SE,3
501274,15/10/2024 10:00,,,,,60,19,4,SE,3
501274,15/10/2024 11:00,,,,,66,18,3,SE,1
501274,15/10/2024 12:00,16.0,23.0,48.0,71.0,68,17,3,SE,1
501274,15/10/2024 13:00,,,,,65,17,4,SE,1
501274,15/10/2024 14:00,,,,,58,17,4,E,0
501274,15/10/2024 15:00,,,,,55,17,4,E,0
501274,15/10/2024 16:00,,,,,53,17,4,E,0
501274,15/10/2024 17:00,,,,,55,17,4,N,2
501274,15/10/2024 18:00,,,,,62,16,5,N,2
501274,15/10/2024 19:00,,,,,63,16,4,N,2
501274,15/10/2024 20:00,,,,,62,16,4,NE,3
501274,15/10/2024 21:00,,,,,60,16,4,NE,3
501274,15/10/2024 22:00,,,,,60,16,4,NE,3
501274,15/10/2024 23:00,,,,,59,18,4,E,3
501274,16/10/2024 00:00,,,,,48,20,4,E,3
501274,16/10/2024 01:00,,,,,41,21,4,E,3
501274,16/10/2024 02:00,,,,,40,22,3,SE,1
