Tanggal;Terakhir
15/09/2022;4.675
14/09/2022;4.650
13/09/2022;4.725
12/09/2022;4.588
09/09/2022;4.538
08/09/2022;4.475
07/09/2022;4.438
06/09/2022;4.413
05/09/2022;4.475
02/09/2022;4.425
01/09/2022;4.463
31/08/2022;4.425
30/08/2022;4.325
29/08/2022;4.275
26/08/2022;4.250
25/08/2022;4.288
24/08/2022;4.313
23/08/2022;4.313
22/08/2022;4.263
19/08/2022;4.250
18/08/2022;4.300
16/08/2022;4.263
15/08/2022;4.225
12/08/2022;4.238
11/08/2022;4.263
10/08/2022;4.300
09/08/2022;4.238
08/08/2022;4.175
05/08/2022;4.125
04/08/2022;4.125
03/08/2022;4.125
02/08/2022;4.088
01/08/2022;3.988
29/07/2022;4.138
28/07/2022;4.025
27/07/2022;4.050
26/07/2022;4.000
25/07/2022;3.888
22/07/2022;3.925
21/07/2022;3.950
20/07/2022;3.950
19/07/2022;3.713
18/07/2022;3.675
15/07/2022;3.588
14/07/2022;3.638
13/07/2022;3.638
12/07/2022;3.713
11/07/2022;3.738
08/07/2022;3.738
07/07/2022;3.713
06/07/2022;3.763
05/07/2022;3.825
04/07/2022;3.700
01/07/2022;3.800
30/06/2022;3.963
29/06/2022;3.975
28/06/2022;4.063
27/06/2022;4.113
24/06/2022;4.150
23/06/2022;4.075
22/06/2022;4.075
21/06/2022;4.125
20/06/2022;4.125
17/06/2022;4.038
16/06/2022;4.188
15/06/2022;4.150
14/06/2022;4.100
13/06/2022;4.050
10/06/2022;4.088
09/06/2022;4.213
08/06/2022;4.200
07/06/2022;4.150
06/06/2022;4.075
03/06/2022;4.100
02/06/2022;4.100
31/05/2022;4.250
30/05/2022;4.100
27/05/2022;4.050
25/05/2022;3.925
24/05/2022;3.963
23/05/2022;3.938
20/05/2022;4.000
19/05/2022;3.950
18/05/2022;3.950
17/05/2022;3.925
13/05/2022;3.900
12/05/2022;3.938
11/05/2022;4.000
10/05/2022;4.050
09/05/2022;4.163
28/04/2022;4.475
27/04/2022;4.113
26/04/2022;4.175
25/04/2022;4.113
22/04/2022;4.138
21/04/2022;4.150
20/04/2022;3.925
19/04/2022;3.788
18/04/2022;3.813
14/04/2022;3.838
13/04/2022;3.863
12/04/2022;3.850
11/04/2022;3.838
08/04/2022;3.850
07/04/2022;3.850
06/04/2022;3.838
05/04/2022;3.913
04/04/2022;3.913
01/04/2022;3.938
31/03/2022;3.950
30/03/2022;3.938
29/03/2022;3.963
28/03/2022;3.938
25/03/2022;3.925
24/03/2022;3.963
23/03/2022;3.888
22/03/2022;3.838
21/03/2022;3.825
18/03/2022;3.963
17/03/2022;3.975
16/03/2022;3.975
15/03/2022;3.888
14/03/2022;3.875
11/03/2022;3.825
10/03/2022;3.838
09/03/2022;3.813
08/03/2022;3.775
07/03/2022;3.775
04/03/2022;3.825
02/03/2022;3.813
01/03/2022;3.825
25/02/2022;3.850
24/02/2022;3.850
23/02/2022;3.938
22/02/2022;3.938
21/02/2022;3.925
18/02/2022;3.925
17/02/2022;3.925
16/02/2022;3.925
15/02/2022;3.950
14/02/2022;3.900
11/02/2022;3.863
10/02/2022;3.863
09/02/2022;3.838
08/02/2022;3.813
07/02/2022;3.750
04/02/2022;3.738
03/02/2022;3.738
02/02/2022;3.738
31/01/2022;3.738
28/01/2022;3.825
27/01/2022;3.775
26/01/2022;3.738
25/01/2022;3.613
24/01/2022;3.638
21/01/2022;3.650
20/01/2022;3.588
19/01/2022;3.513
18/01/2022;3.625
17/01/2022;3.600
14/01/2022;3.588
13/01/2022;3.563
12/01/2022;3.575
11/01/2022;3.525
10/01/2022;3.525
07/01/2022;3.525
06/01/2022;3.513
05/01/2022;3.513
04/01/2022;3.588
03/01/2022;3.525
30/12/2021;3.513
29/12/2021;3.550
28/12/2021;3.525
27/12/2021;3.500
24/12/2021;3.525
23/12/2021;3.538
22/12/2021;3.525
21/12/2021;3.575
20/12/2021;3.538
17/12/2021;3.575
16/12/2021;3.625
15/12/2021;3.638
14/12/2021;3.588
13/12/2021;3.563
10/12/2021;3.600
09/12/2021;3.675
08/12/2021;3.575
07/12/2021;3.650
06/12/2021;3.588
03/12/2021;3.575
02/12/2021;3.600
01/12/2021;3.538
30/11/2021;3.500
29/11/2021;3.588
26/11/2021;3.550
25/11/2021;3.675
24/11/2021;3.575
23/11/2021;3.575
22/11/2021;3.675
19/11/2021;3.625
18/11/2021;3.588
17/11/2021;3.613
16/11/2021;3.613
15/11/2021;3.525
12/11/2021;3.550
11/11/2021;3.613
10/11/2021;3.575
09/11/2021;3.438
08/11/2021;3.500
05/11/2021;3.550
04/11/2021;3.588
03/11/2021;3.563
02/11/2021;3.513
01/11/2021;3.588
29/10/2021;3.588
28/10/2021;3.513
27/10/2021;3.575
26/10/2021;3.588
25/10/2021;3.563
22/10/2021;3.600
21/10/2021;3.588
19/10/2021;3.600
18/10/2021;3.588
15/10/2021;3.575
14/10/2021;3.588
13/10/2021;3.550
12/10/2021;3.500
11/10/2021;3.450
08/10/2021;3.450
07/10/2021;3.350
06/10/2021;3.300
05/10/2021;3.213
04/10/2021;3.238
01/10/2021;3.050
30/09/2021;3.075
29/09/2021;3.000
28/09/2021;2.975
27/09/2021;2.950
24/09/2021;2.988
23/09/2021;3.038
22/09/2021;3.038
21/09/2021;2.988
20/09/2021;3.013
17/09/2021;3.025
16/09/2021;3.075
15/09/2021;3.063
14/09/2021;3.050
13/09/2021;3.075
10/09/2021;3.100
09/09/2021;3.175
08/09/2021;3.125
07/09/2021;3.125
06/09/2021;3.100
03/09/2021;3.063
02/09/2021;3.025
01/09/2021;3.000
31/08/2021;3.050
30/08/2021;2.975
27/08/2021;2.900
26/08/2021;2.913
25/08/2021;2.975
24/08/2021;2.913
23/08/2021;2.988
20/08/2021;2.950
19/08/2021;2.925
18/08/2021;3.025
16/08/2021;2.988
13/08/2021;3.000
12/08/2021;2.963
10/08/2021;2.900
09/08/2021;2.900
06/08/2021;2.988
05/08/2021;3.025
04/08/2021;2.913
03/08/2021;2.888
02/08/2021;2.838
30/07/2021;2.850
29/07/2021;2.875
28/07/2021;2.950
27/07/2021;2.913
26/07/2021;2.900
23/07/2021;2.988
22/07/2021;3.025
21/07/2021;2.963
19/07/2021;2.875
16/07/2021;2.938
15/07/2021;2.938
14/07/2021;2.850
13/07/2021;2.888
12/07/2021;2.900
09/07/2021;2.888
08/07/2021;2.950
07/07/2021;2.875
06/07/2021;2.888
05/07/2021;2.925
02/07/2021;2.975
01/07/2021;2.988
30/06/2021;2.950
29/06/2021;2.888
28/06/2021;2.850
25/06/2021;2.950
24/06/2021;2.988
23/06/2021;3.013
22/06/2021;3.088
21/06/2021;3.013
18/06/2021;3.100
17/06/2021;3.100
16/06/2021;3.138
15/06/2021;3.163
14/06/2021;3.138
11/06/2021;3.138
10/06/2021;3.100
09/06/2021;3.075
08/06/2021;3.000
07/06/2021;3.063
04/06/2021;3.063
03/06/2021;3.125
02/06/2021;3.050
31/05/2021;3.000
28/05/2021;2.900
27/05/2021;2.875
25/05/2021;2.950
24/05/2021;2.875
21/05/2021;2.913
20/05/2021;2.825
19/05/2021;2.838
18/05/2021;2.950
17/05/2021;2.963
11/05/2021;2.950
10/05/2021;2.988
07/05/2021;2.975
06/05/2021;3.038
05/05/2021;3.025
04/05/2021;3.050
03/05/2021;3.025
30/04/2021;3.088
29/04/2021;3.113
28/04/2021;3.100
27/04/2021;3.025
26/04/2021;2.988
23/04/2021;3.075
22/04/2021;3.063
21/04/2021;3.063
20/04/2021;3.100
19/04/2021;3.113
16/04/2021;3.150
15/04/2021;3.150
14/04/2021;3.163
13/04/2021;3.150
12/04/2021;3.150
09/04/2021;3.238
08/04/2021;3.138
07/04/2021;3.163
06/04/2021;3.138
05/04/2021;3.113
01/04/2021;3.100
31/03/2021;3.075
30/03/2021;3.163
29/03/2021;3.188
26/03/2021;3.213
25/03/2021;3.200
24/03/2021;3.213
23/03/2021;3.338
22/03/2021;3.313
19/03/2021;3.388
18/03/2021;3.400
17/03/2021;3.263
16/03/2021;3.275
15/03/2021;3.325
12/03/2021;3.363
10/03/2021;3.250
09/03/2021;3.213
08/03/2021;6.425
05/03/2021;6.475
04/03/2021;6.550
03/03/2021;6.600
02/03/2021;6.600
01/03/2021;6.575
26/02/2021;6.150
25/02/2021;6.275
24/02/2021;6.375
23/02/2021;6.325
22/02/2021;6.375
19/02/2021;6.375
18/02/2021;6.250
17/02/2021;6.350
16/02/2021;6.475
15/02/2021;6.500
11/02/2021;6.500
10/02/2021;6.500
09/02/2021;6.500
08/02/2021;6.575
05/02/2021;6.550
04/02/2021;6.575
03/02/2021;6.500
02/02/2021;6.475
01/02/2021;6.700
29/01/2021;6.575
28/01/2021;7.050
27/01/2021;7.300
26/01/2021;7.375
25/01/2021;7.300
22/01/2021;7.200
21/01/2021;7.250
20/01/2021;7.375
19/01/2021;6.975
18/01/2021;6.925
15/01/2021;6.725
14/01/2021;6.850
13/01/2021;6.925
12/01/2021;6.950
11/01/2021;6.850
08/01/2021;6.550
07/01/2021;6.475
06/01/2021;6.425
05/01/2021;6.425
04/01/2021;6.500
30/12/2020;6.325
29/12/2020;6.425
28/12/2020;6.525
23/12/2020;6.350
22/12/2020;6.400
21/12/2020;6.700
18/12/2020;6.700
17/12/2020;6.875
16/12/2020;6.775
15/12/2020;6.700
14/12/2020;6.725
11/12/2020;6.775
10/12/2020;6.800
08/12/2020;6.675
07/12/2020;6.700
04/12/2020;6.600
03/12/2020;6.575
02/12/2020;6.650
01/12/2020;6.525
30/11/2020;6.325
27/11/2020;6.650
26/11/2020;6.725
25/11/2020;6.525
24/11/2020;6.425
23/11/2020;6.400
20/11/2020;6.300
19/11/2020;6.325
18/11/2020;6.350
17/11/2020;6.250
16/11/2020;6.200
13/11/2020;6.250
12/11/2020;6.175
11/11/2020;6.375
10/11/2020;6.375
09/11/2020;6.150
06/11/2020;6.050
05/11/2020;5.975
04/11/2020;5.700
03/11/2020;6.000
02/11/2020;5.975
27/10/2020;5.775
26/10/2020;5.775
23/10/2020;5.550
22/10/2020;5.450
21/10/2020;5.525
20/10/2020;5.650
19/10/2020;5.700
16/10/2020;5.575
15/10/2020;5.600
14/10/2020;5.775
13/10/2020;5.675
12/10/2020;5.625
09/10/2020;5.550
08/10/2020;5.450
07/10/2020;5.550
06/10/2020;5.500
05/10/2020;5.350
02/10/2020;5.200
01/10/2020;5.200
30/09/2020;4.960
29/09/2020;5.075
28/09/2020;5.150
25/09/2020;5.350
24/09/2020;5.075
23/09/2020;5.200
