Date;Price;Open;High;Low;Vol;Change
01/08/2024;23539,00;23600,00;23625,00;23250,00;2.69K;-0.02%
01/05/2024;23544,00;23435,00;23915,00;23200,00;1.97K;0.54%
01/04/2024;23417,00;23425,00;23475,00;23110,00;2.49K;0.14%
01/03/2024;23385,00;24105,00;24155,00;23280,00;2.72K;-3.32%
01/02/2024;24189,00;24275,00;24565,00;24105,00;2.34K;0.58%
01/01/2024;24050,00;24027,00;24090,00;24027,00;;-1.11%
12/29/2023;24321,00;24420,00;24445,00;24000,00;2.20K;-1.18%
12/28/2023;24611,00;24780,00;24955,00;24445,00;1.10K;-0.12%
12/27/2023;24641,00;24505,00;24730,00;24220,00;43.84K;1.00%
12/26/2023;24396,00;24495,00;24700,00;24340,00;27.81K;-0.47%
12/25/2023;24510,00;24475,00;24547,00;24470,00;;-0.22%
12/22/2023;24565,00;24705,00;24895,00;24370,00;48.68K;-0.08%
12/21/2023;24585,00;24460,00;24790,00;24430,00;46.76K;-0.19%
12/20/2023;24631,00;24360,00;24750,00;24245,00;46.98K;1.27%
12/19/2023;24321,00;24080,00;24475,00;24040,00;37.54K;0.89%
12/18/2023;24107,00;24125,00;24355,00;23955,00;42.68K;-0.19%
12/15/2023;24154,00;24475,00;24590,00;24050,00;57.00K;-0.95%
12/14/2023;24386,00;24095,00;24525,00;24060,00;97.58K;6.39%
12/13/2023;22921,00;23075,00;24125,00;22785,00;81.89K;-0.41%
12/12/2023;23016,00;23125,00;23450,00;22975,00;55.16K;-0.18%
12/11/2023;23058,00;23300,00;23400,00;23015,00;56.90K;-0.94%
12/08/2023;23276,00;24140,00;24225,00;23245,00;87.08K;-3.25%
12/07/2023;24059,00;24230,00;24350,00;23905,00;57.75K;-0.70%
12/06/2023;24228,00;24530,00;24715,00;24210,00;59.37K;-1.30%
12/05/2023;24546,00;24915,00;25020,00;24320,00;76.73K;-1.45%
12/04/2023;24907,00;25945,00;26340,00;24785,00;113.76K;-3.67%
12/01/2023;25857,00;25695,00;25940,00;25480,00;70.00K;0.77%
11/30/2023;25660,00;25410,00;25700,00;25325,00;51.62K;0.85%
11/29/2023;25443,00;25430,00;25680,00;25245,00;67.40K;0.56%
11/28/2023;25302,00;25065,00;25445,00;24940,00;63.46K;1.05%
11/27/2023;25038,00;24750,00;25290,00;24680,00;55.05K;1.40%
11/24/2023;24692,00;24020,00;24750,00;23960,00;31.90K;3.98%
11/23/2023;23747,00;23655,00;23837,00;23650,00;;-1.19%
11/22/2023;24033,00;24145,00;24355,00;23935,00;24.90K;-0.78%
11/21/2023;24221,00;23825,00;24430,00;23820,00;23.43K;1.09%
11/20/2023;23959,00;24110,00;24210,00;23650,00;15.88K;-1.00%
11/17/2023;24201,00;24180,00;24560,00;24080,00;11.42K;-0.31%
11/16/2023;24277,00;23865,00;24505,00;23690,00;18.29K;1.68%
11/15/2023;23877,00;23495,00;24040,00;23430,00;14.40K;1.75%
11/14/2023;23466,00;22715,00;23580,00;22505,00;15.34K;3.40%
11/13/2023;22694,00;22690,00;22730,00;22260,00;21.23K;0.33%
11/10/2023;22619,00;23015,00;23120,00;22570,00;14.24K;-2.68%
11/09/2023;23242,00;22950,00;23400,00;22750,00;19.28K;0.80%
11/08/2023;23058,00;23045,00;23255,00;22720,00;17.00K;0.59%
11/07/2023;22923,00;23455,00;23485,00;22840,00;14.31K;-2.77%
11/06/2023;23575,00;23620,00;23695,00;23435,00;8.25K;-0.20%
11/03/2023;23623,00;23225,00;23740,00;23015,00;6.01K;1.89%
11/02/2023;23184,00;23385,00;23555,00;23105,00;4.56K;0.25%
11/01/2023;23127,00;23300,00;23470,00;22985,00;5.75K;-0.71%
10/31/2023;23292,00;23785,00;23785,00;23190,00;3.93K;-1.88%
10/30/2023;23739,00;23560,00;24080,00;23520,00;4.72K;3.16%
10/27/2023;23011,00;23125,00;23335,00;22995,00;0.09K;-0.10%
10/26/2023;23033,00;23290,00;23290,00;22800,00;0.04K;-0.43%
10/25/2023;23132,00;23150,00;23225,00;22970,00;0.03K;-0.48%
10/24/2023;23244,00;23100,00;23240,00;23100,00;0.01K;-0.40%
10/23/2023;23338,00;23515,00;23545,00;23260,00;0.03K;-1.24%
10/20/2023;23631,00;23240,00;23960,00;23240,00;0.04K;2.05%
10/19/2023;23157,00;23095,00;23280,00;23095,00;0.03K;-0.29%
10/18/2023;23225,00;23330,00;23460,00;23050,00;0.03K;0.32%
10/17/2023;23151,00;22940,00;23225,00;22940,00;0.01K;1.14%
10/16/2023;22891,00;22800,00;22945,00;22800,00;0.02K;-0.56%
10/13/2023;23019,00;22900,00;23045,00;22865,00;0.01K;4.26%
10/12/2023;22079,00;22325,00;22470,00;22060,00;0.01K;-0.79%
10/11/2023;22255,00;22315,00;22390,00;22305,00;0.01K;0.80%
10/10/2023;22078,00;22170,00;22185,00;22035,00;0.05K;0.17%
10/09/2023;22040,00;22000,00;22165,00;21900,00;0.10K;0.93%
10/06/2023;21836,00;21180,00;21845,00;21115,00;0.05K;3.35%
10/05/2023;21129,00;21200,00;21200,00;21090,00;0.10K;-0.62%
10/04/2023;21261,00;21210,00;21210,00;21210,00;0.02K;-1.07%
10/03/2023;21492,00;21025,00;21645,00;20995,00;0.11K;-0.22%
10/02/2023;21539,00;22225,00;22225,00;21495,00;0.03K;-4.57%
09/29/2023;22570,00;23410,00;23720,00;22510,00;0.04K;-1.27%
09/28/2023;22861,00;22900,00;23040,00;22900,00;0.02K;0.60%
09/27/2023;22724,00;23100,00;23120,00;22640,00;66.47K;-2.03%
09/26/2023;23196,00;23390,00;23390,00;23100,00;52.63K;-0.81%
09/25/2023;23385,00;23810,00;23925,00;23290,00;55.99K;-1.93%
09/22/2023;23844,00;23675,00;24050,00;23665,00;53.72K;0.66%
09/21/2023;23687,00;23520,00;23745,00;23060,00;73.84K;-0.63%
09/20/2023;23836,00;23480,00;23880,00;23325,00;57.73K;1.62%
09/19/2023;23456,00;23530,00;23705,00;23365,00;40.41K;-0.18%
09/18/2023;23498,00;23320,00;23540,00;23235,00;46.57K;0.48%
09/15/2023;23386,00;22930,00;23585,00;22910,00;67.11K;1.70%
09/14/2023;22994,00;23140,00;23265,00;22555,00;84.60K;-0.81%
09/13/2023;23181,00;23375,00;23390,00;23025,00;49.96K;-0.94%
09/12/2023;23402,00;23390,00;23480,00;23110,00;40.98K;0.08%
09/11/2023;23383,00;23195,00;23515,00;23180,00;43.21K;0.90%
09/08/2023;23174,00;23260,00;23455,00;23130,00;52.75K;-0.28%
09/07/2023;23240,00;23500,00;23500,00;23130,00;50.65K;-1.12%
09/06/2023;23503,00;23880,00;23935,00;23315,00;67.14K;-1.55%
09/05/2023;23873,00;24565,00;24655,00;23815,00;91.77K;-1.78%
09/04/2023;24305,00;24527,00;24650,00;24302,00;;-0.93%
