Date;Price;Open;High;Low;Vol;Change
12/27/2023;24641;24505;24730;24220;43.84K;1.00%
12/26/2023;24396;24495;24700;24340;27.81K;-0.47%
12/25/2023;24510;24475;24547;24470;;-0.22%
12/22/2023;24565;24705;24895;24370;48.68K;-0.08%
12/21/2023;24585;24460;24790;24430;46.76K;-0.19%
12/20/2023;24631;24360;24750;24245;46.98K;1.27%
12/19/2023;24321;24080;24475;24040;37.54K;0.89%
12/18/2023;24107;24125;24355;23955;42.68K;-0.19%
12/15/2023;24154;24475;24590;24050;57.00K;-0.95%
12/14/2023;24386;24095;24525;24060;97.58K;6.39%
12/13/2023;22921;23075;24125;22785;81.89K;-0.41%
12/12/2023;23016;23125;23450;22975;55.16K;-0.18%
12/11/2023;23058;23300;23400;23015;56.90K;-0.94%
12/08/2023;23276;24140;24225;23245;87.08K;-3.25%
12/07/2023;24059;24230;24350;23905;57.75K;-0.70%
12/06/2023;24228;24530;24715;24210;59.37K;-1.30%
12/05/2023;24546;24915;25020;24320;76.73K;-1.45%
12/04/2023;24907;25945;26340;24785;113.76K;-3.67%
12/01/2023;25857;25695;25940;25480;70.00K;0.77%
11/30/2023;25660;25410;25700;25325;51.62K;0.85%
11/29/2023;25443;25430;25680;25245;67.40K;0.56%
11/28/2023;25302;25065;25445;24940;63.46K;1.05%
11/27/2023;25038;24750;25290;24680;55.05K;1.40%
11/24/2023;24692;24020;24750;23960;31.90K;3.98%
11/23/2023;23747;23655;23837;23650;;-1.19%
11/22/2023;24033;24145;24355;23935;24.90K;-0.78%
11/21/2023;24221;23825;24430;23820;23.43K;1.09%
11/20/2023;23959;24110;24210;23650;15.88K;-1.00%
11/17/2023;24201;24180;24560;24080;11.42K;-0.31%
11/16/2023;24277;23865;24505;23690;18.29K;1.68%
11/15/2023;23877;23495;24040;23430;14.40K;1.75%
11/14/2023;23466;22715;23580;22505;15.34K;3.40%
11/13/2023;22694;22690;22730;22260;21.23K;0.33%
11/10/2023;22619;23015;23120;22570;14.24K;-2.68%
11/09/2023;23242;22950;23400;22750;19.28K;0.80%
11/08/2023;23058;23045;23255;22720;17.00K;0.59%
11/07/2023;22923;23455;23485;22840;14.31K;-2.77%
11/06/2023;23575;23620;23695;23435;8.25K;-0.20%
11/03/2023;23623;23225;23740;23015;6.01K;1.89%
11/02/2023;23184;23385;23555;23105;4.56K;0.25%
11/01/2023;23127;23300;23470;22985;5.75K;-0.71%
10/31/2023;23292;23785;23785;23190;3.93K;-1.88%
10/30/2023;23739;23560;24080;23520;4.72K;3.16%
10/27/2023;23011;23125;23335;22995;0.09K;-0.10%
10/26/2023;23033;23290;23290;22800;0.04K;-0.43%
10/25/2023;23132;23150;23225;22970;0.03K;-0.48%
10/24/2023;23244;23100;23240;23100;0.01K;-0.40%
10/23/2023;23338;23515;23545;23260;0.03K;-1.24%
10/20/2023;23631;23240;23960;23240;0.04K;2.05%
10/19/2023;23157;23095;23280;23095;0.03K;-0.29%
10/18/2023;23225;23330;23460;23050;0.03K;0.32%
10/17/2023;23151;22940;23225;22940;0.01K;1.14%
10/16/2023;22891;22800;22945;22800;0.02K;-0.56%
10/13/2023;23019;22900;23045;22865;0.01K;4.26%
10/12/2023;22079;22325;22470;22060;0.01K;-0.79%
10/11/2023;22255;22315;22390;22305;0.01K;0.80%
10/10/2023;22078;22170;22185;22035;0.05K;0.17%
10/09/2023;22040;22000;22165;21900;0.10K;0.93%
10/06/2023;21836;21180;21845;21115;0.05K;3.35%
10/05/2023;21129;21200;21200;21090;0.10K;-0.62%
10/04/2023;21261;21210;21210;21210;0.02K;-1.07%
10/03/2023;21492;21025;21645;20995;0.11K;-0.22%
10/02/2023;21539;22225;22225;21495;0.03K;-4.57%
09/29/2023;22570;23410;23720;22510;0.04K;-1.27%
09/28/2023;22861;22900;23040;22900;0.02K;0.60%
09/27/2023;22724;23100;23120;22640;66.47K;-2.03%
09/26/2023;23196;23390;23390;23100;52.63K;-0.81%
09/25/2023;23385;23810;23925;23290;55.99K;-1.93%
09/22/2023;23844;23675;24050;23665;53.72K;0.66%
09/21/2023;23687;23520;23745;23060;73.84K;-0.63%
09/20/2023;23836;23480;23880;23325;57.73K;1.62%
09/19/2023;23456;23530;23705;23365;40.41K;-0.18%
09/18/2023;23498;23320;23540;23235;46.57K;0.48%
09/15/2023;23386;22930;23585;22910;67.11K;1.70%
09/14/2023;22994;23140;23265;22555;84.60K;-0.81%
09/13/2023;23181;23375;23390;23025;49.96K;-0.94%
09/12/2023;23402;23390;23480;23110;40.98K;0.08%
09/11/2023;23383;23195;23515;23180;43.21K;0.90%
09/08/2023;23174;23260;23455;23130;52.75K;-0.28%
09/07/2023;23240;23500;23500;23130;50.65K;-1.12%
09/06/2023;23503;23880;23935;23315;67.14K;-1.55%
09/05/2023;23873;24565;24655;23815;91.77K;-1.78%
09/04/2023;24305;24527;24650;24302;;-0.93%
09/03/2023;24532;24540;24565;24483;;-0.12%
09/01/2023;24562;24820;25220;24520;61.53K;-1.01%
08/31/2023;24812;25020;25060;24745;47.18K;-1.16%
08/30/2023;25104;25135;25425;24920;67.03K;-0.14%
08/29/2023;25139;24620;25195;24555;51.64K;2.17%
08/28/2023;24605;24620;24750;24450;32.66K;0.09%
08/25/2023;24583;24530;24785;24310;32.75K;0.03%
08/24/2023;24575;24700;24740;24450;39.41K;-0.55%
08/23/2023;24710;23795;24750;23790;33.68K;3.99%
08/22/2023;23763;23710;23830;23590;18.49K;0.44%
08/21/2023;23659;23130;23700;23040;18.19K;2.60%
08/18/2023;23060;23080;23240;23000;8.49K;0.08%
08/17/2023;23042;22800;23385;22725;12.48K;0.81%
08/16/2023;22856;22905;23170;22770;10.98K;-0.51%
08/15/2023;22973;22985;23080;22585;15.46K;-0.26%
08/14/2023;23034;23070;23155;22745;12.86K;-0.21%
08/11/2023;23082;23110;23245;22955;17.34K;-0.35%
08/10/2023;23164;23070;23395;23010;19.63K;0.41%
08/09/2023;23070;23170;23320;23025;22.05K;-0.38%
08/08/2023;23157;23540;23610;23080;20.50K;-1.86%
08/07/2023;23595;24095;24115;23515;16.46K;-2.02%
08/04/2023;24082;24065;24255;23650;9.50K;0.10%
08/03/2023;24059;24180;24255;23765;8.21K;-0.72%
08/02/2023;24234;24850;24985;24120;8.53K;-1.84%
08/01/2023;24688;25250;25255;24620;4.32K;-2.55%
07/31/2023;25335;24825;25345;24685;2.42K;1.91%
07/28/2023;24859;24685;24895;24610;3.42K;0.54%
07/27/2023;24726;25460;25680;24540;3.62K;-2.40%
07/26/2023;25333;25195;25560;25035;2.21K;0.58%
07/25/2023;25186;24850;25260;24840;4.14K;1.01%
07/24/2023;24934;25140;25230;24785;3.28K;-1.07%
07/21/2023;25204;25315;25425;25115;1.45K;-0.42%
07/20/2023;25310;25680;25820;25250;1.87K;-1.66%
07/19/2023;25736;25610;25805;25500;2.24K;0.52%
07/18/2023;25604;25390;25725;25330;2.01K;0.96%
07/17/2023;25361;25485;25485;25160;2.32K;-0.67%
07/14/2023;25531;25410;25580;25250;2.56K;0.98%
07/13/2023;25282;24665;25435;24660;2.79K;2.59%
07/12/2023;24643;23665;24695;23650;2.05K;4.37%
07/11/2023;23611;23665;23885;23555;1.56K;-0.28%
07/10/2023;23678;23605;23695;23290;1.77K;0.26%
07/07/2023;23617;23245;23685;23140;1.44K;1.73%
07/06/2023;23215;23670;23760;23060;1.98K;-2.15%
07/05/2023;23725;23440;23850;23315;1.94K;2.40%
07/04/2023;23168;23102;23267;23073;;-1.13%
07/03/2023;23433;23290;23595;23235;0.91K;0.41%
06/30/2023;23337;23090;23365;22880;0.84K;0.97%
06/29/2023;23112;23245;23400;22805;0.61K;0.12%
06/28/2023;23084;23110;23180;22790;36.53K;-0.28%
06/27/2023;23148;23025;23335;22980;37.59K;0.54%
06/26/2023;23024;22650;23140;22635;38.79K;2.11%
06/23/2023;22549;22475;22900;22340;26.19K;-0.53%
06/22/2023;22670;22925;22950;22405;22.58K;-1.52%
06/21/2023;23019;23430;23435;22725;20.35K;-1.82%
06/20/2023;23445;24440;24470;23315;20.46K;-2.56%
06/19/2023;24062;24198;24262;23962;;-0.56%
06/18/2023;24198;24235;24258;24172;;-0.58%
06/16/2023;24339;24170;24510;24125;12.00K;0.75%
06/15/2023;24158;24210;24220;23495;14.22K;-0.68%
06/14/2023;24323;23955;24390;23950;13.50K;1.18%
06/13/2023;24039;24365;24720;23890;16.23K;-0.97%
06/12/2023;24275;24570;24610;24175;13.41K;-1.44%
06/09/2023;24629;24570;24835;24500;13.47K;0.25%
06/08/2023;24567;23735;24675;23735;11.16K;3.44%
06/07/2023;23749;23885;24375;23700;12.82K;-0.59%
06/06/2023;23889;23860;24080;23640;5.47K;0.14%
06/05/2023;23855;23870;23990;23535;6.15K;-0.46%
06/02/2023;23966;24180;24320;23885;3.55K;-1.00%
06/01/2023;24207;23830;24240;23620;4.43K;1.68%
05/31/2023;23806;23505;23955;23400;4.39K;1.50%
05/30/2023;23455;23620;23685;23260;3.54K;0.81%
05/29/2023;23267;23410;23503;23258;;-0.62%
05/28/2023;23413;23430;23455;23395;;-0.68%
05/26/2023;23574;23050;23670;23030;2.50K;1.95%
05/25/2023;23124;23400;23470;23025;3.57K;-1.42%
05/24/2023;23456;23805;23855;23355;3.87K;-1.59%
05/23/2023;23836;24005;24005;23450;2.69K;-0.99%
05/22/2023;24075;24235;24255;23975;1.10K;-0.82%
05/19/2023;24273;23895;24395;23780;1.73K;1.79%
05/18/2023;23845;24125;24125;23690;1.90K;-1.08%
05/17/2023;24106;24115;24255;23920;1.08K;0.02%
05/16/2023;24101;24470;24470;24020;1.60K;-1.64%
05/15/2023;24502;24305;24605;24275;1.85K;0.54%
05/12/2023;24371;24575;24610;24130;2.03K;-1.12%
05/11/2023;24648;25900;25900;24560;3.35K;-4.74%
05/10/2023;25875;26065;26420;25685;2.18K;-0.91%
05/09/2023;26113;26005;26145;25800;2.16K;0.26%
05/08/2023;26046;26130;26200;25985;2.00K;-0.37%
05/05/2023;26144;26530;26630;25630;2.20K;-1.13%
05/04/2023;26443;26120;26560;25970;2.27K;2.13%
05/03/2023;25892;25835;26110;25580;1.63K;0.24%
05/02/2023;25830;25450;25970;25050;1.52K;1.52%
05/01/2023;25444;25645;26405;25360;1.73K;0.00%
04/28/2023;25444;25375;25560;25235;1.14K;0.07%
04/27/2023;25427;25405;25605;24970;1.98K;1.42%
04/26/2023;25071;25265;25515;25010;55.55K;-0.07%
04/25/2023;25088;25480;25655;24735;50.54K;-1.71%
04/24/2023;25524;25375;25535;25055;33.50K;0.97%
04/21/2023;25280;25565;25690;25210;19.88K;-1.23%
04/20/2023;25595;25580;25805;25380;21.43K;0.02%
04/19/2023;25590;25495;25675;24925;18.98K;0.42%
04/18/2023;25484;25350;25645;25255;14.04K;0.70%
04/17/2023;25307;25705;25925;25145;12.28K;-1.47%
04/14/2023;25684;26195;26435;25485;20.89K;-1.76%
04/13/2023;26143;25825;26320;25740;17.52K;1.82%
04/12/2023;25676;25395;26035;25395;16.27K;1.07%
04/11/2023;25405;25210;25495;25185;17.40K;1.11%
04/10/2023;25126;25230;25430;25000;11.72K;-0.68%
04/06/2023;25299;25295;25385;24910;7.16K;0.20%
04/05/2023;25248;25375;25500;25000;7.86K;-0.23%
04/04/2023;25306;24300;25395;24175;9.19K;4.48%
04/03/2023;24220;24415;24525;23935;6.32K;-0.53%
03/31/2023;24350;24240;24500;24030;3.96K;0.69%
03/30/2023;24182;23630;24265;23560;3.80K;2.21%
03/29/2023;23658;23695;23735;23400;2.33K;0.20%
03/28/2023;23610;23415;23700;23145;2.74K;1.18%
03/27/2023;23335;23665;23665;23190;2.71K;-0.82%
03/24/2023;23528;23390;23885;23330;2.19K;0.36%
03/23/2023;23443;23200;23535;23100;1.94K;2.07%
03/22/2023;22968;22690;23410;22595;2.03K;1.61%
03/21/2023;22605;22825;22945;22485;1.65K;-0.95%
03/20/2023;22821;22900;23030;22545;1.42K;0.79%
03/17/2023;22642;22055;22925;22005;1.54K;3.53%
03/16/2023;21870;22140;22355;21770;1.33K;-0.85%
03/15/2023;22058;21975;22680;21800;2.84K;-0.70%
03/14/2023;22214;22050;22240;21635;3.03K;0.55%
03/13/2023;22092;20875;22205;20840;4.95K;6.80%
03/10/2023;20686;20340;21040;20125;1.94K;1.68%
03/09/2023;20345;20310;20520;20210;2.44K;0.07%
03/08/2023;20331;20345;20455;20150;2.23K;-0.26%
03/07/2023;20383;21320;21360;20290;3.52K;-4.40%
03/06/2023;21321;21525;21570;21265;2.44K;-0.42%
03/03/2023;21411;21185;21540;21090;2.10K;1.59%
03/02/2023;21076;21225;21225;20970;1.25K;-0.94%
03/01/2023;21276;21195;21460;21155;1.76K;0.12%
02/28/2023;21250;20910;21300;20725;1.88K;1.33%
02/27/2023;20972;21180;21180;20825;1.83K;0.17%
02/24/2023;20936;21465;21520;20835;55.98K;-2.34%
02/23/2023;21438;21655;21810;21395;35.02K;-1.73%
02/22/2023;21816;22020;22125;21580;25.67K;-0.96%
02/21/2023;22027;21815;22135;21710;28.53K;1.00%
02/20/2023;21808;21595;21902;21558;;0.97%
02/19/2023;21598;21753;21753;21585;;-1.20%
02/17/2023;21861;21730;21945;21315;16.75K;-0.06%
02/16/2023;21875;21805;21965;21570;10.38K;0.58%
02/15/2023;21749;22045;22055;21580;8.91K;-1.41%
02/14/2023;22060;22200;22230;21775;8.92K;0.08%
02/13/2023;22042;22190;22270;21980;10.56K;-1.00%
02/10/2023;22265;22180;22500;22035;12.95K;-0.34%
02/09/2023;22340;22550;22810;22110;12.07K;-1.24%
02/08/2023;22621;22435;22760;22420;12.43K;1.08%
02/07/2023;22380;22495;22660;22275;13.35K;-0.25%
02/06/2023;22436;22515;22815;22370;6.79K;-0.76%
02/03/2023;22607;23710;23860;22525;7.62K;-5.08%
02/02/2023;23818;24305;24935;23695;6.89K;0.03%
02/01/2023;23812;24010;24350;23645;3.94K;-0.95%
01/31/2023;24041;23860;24065;23270;3.60K;0.44%
01/30/2023;23936;23905;24095;23835;3.19K;0.48%
01/27/2023;23822;24225;24315;23600;1.90K;-1.65%
01/26/2023;24221;24245;24605;23905;2.53K;0.33%
01/25/2023;24141;23925;24260;23640;3.08K;0.83%
01/24/2023;23943;23765;24035;23520;3.11K;0.83%
01/23/2023;23746;24310;24470;23045;3.21K;-1.57%
01/20/2023;24125;24200;24400;24035;1.25K;0.27%
01/19/2023;24061;23760;24250;23470;1.99K;0.94%
01/18/2023;23836;24270;24685;23740;2.16K;-1.74%
01/17/2023;24259;24605;24855;24175;2.72K;-0.80%
