Date;Price;Open;High;Low;Vol;Change
01/20/2021;7375;7000;7450;7000;110.47M;5.73%
01/19/2021;6975;7000;7025;6850;38.92M;0.72%
01/18/2021;6925;6600;6950;6600;59.50M;2.97%
01/15/2021;6725;6875;6925;6625;38.62M;-1.82%
01/14/2021;6850;7050;7050;6825;35.15M;-1.08%
01/13/2021;6925;7050;7075;6925;53.70M;-0.36%
01/12/2021;6950;6900;7000;6825;84.31M;1.46%
01/11/2021;6850;6575;6850;6550;106.38M;4.58%
01/08/2021;6550;6475;6575;6450;46.82M;1.16%
01/07/2021;6475;6450;6525;6425;40.06M;0.78%
01/06/2021;6425;6425;6525;6275;43.55M;0.00%
01/05/2021;6425;6550;6550;6400;34.96M;-1.15%
01/04/2021;6500;6350;6525;6225;30.53M;2.77%
12/30/2020;6325;6525;6525;6325;44.47M;-1.56%
12/29/2020;6425;6575;6600;6400;28.71M;-1.53%
12/28/2020;6525;6500;6575;6300;37.76M;2.76%
12/23/2020;6350;6500;6600;6200;55.02M;-0.78%
12/22/2020;6400;6575;6625;6350;82.96M;-4.48%
12/21/2020;6700;6775;6800;6675;41.59M;0.00%
12/18/2020;6700;6800;6825;6700;71.40M;-2.55%
12/17/2020;6875;6775;6875;6775;54.98M;1.48%
12/16/2020;6775;6800;6825;6725;48.68M;1.12%
12/15/2020;6700;6700;6725;6600;67.83M;-0.37%
12/14/2020;6725;6725;6800;6675;47.32M;-0.74%
12/11/2020;6775;6850;6875;6700;47.27M;-0.37%
12/10/2020;6800;6775;6850;6725;93.92M;1.87%
12/08/2020;6675;6675;6725;6600;35.18M;-0.37%
12/07/2020;6700;6675;6750;6625;66.79M;1.52%
12/04/2020;6600;6500;6600;6425;37.49M;0.38%
12/03/2020;6575;6650;6675;6525;77.67M;-1.13%
12/02/2020;6650;6525;6650;6475;57.36M;1.92%
12/01/2020;6525;6325;6625;6325;88.28M;3.16%
11/30/2020;6325;6550;6625;6225;153.95M;-4.89%
11/27/2020;6650;6775;6800;6625;62.17M;-1.12%
11/26/2020;6725;6600;6725;6550;66.14M;3.07%
11/25/2020;6525;6500;6650;6500;98.85M;1.56%
11/24/2020;6425;6450;6500;6375;70.46M;0.39%
11/23/2020;6400;6300;6425;6275;53.45M;1.59%
11/20/2020;6300;6275;6350;6250;50.29M;-0.40%
11/19/2020;6325;6250;6350;6200;47.40M;-0.39%
11/18/2020;6350;6150;6350;6150;62.47M;1.60%
11/17/2020;6250;6275;6375;6200;53.13M;0.81%
11/16/2020;6200;6300;6450;6150;66.96M;-0.80%
11/13/2020;6250;6100;6250;6075;61.02M;1.21%
11/12/2020;6175;6375;6400;6100;68.08M;-3.14%
11/11/2020;6375;6425;6500;6350;83.25M;0.00%
11/10/2020;6375;6400;6525;6300;124.79M;3.66%
11/09/2020;6150;6250;6300;6050;61.33M;1.65%
11/06/2020;6050;5975;6100;5925;82.11M;1.26%
11/05/2020;5975;5875;6000;5825;87.94M;4.82%
11/04/2020;5700;5950;6025;5700;76.41M;-5.00%
11/03/2020;6000;5975;6000;5900;37.98M;0.42%
11/02/2020;5975;5675;6025;5600;108.43M;3.46%
10/27/2020;5775;5750;5850;5700;56.35M;0.00%
10/26/2020;5775;5625;5850;5625;94.29M;4.05%
10/23/2020;5550;5525;5575;5475;32.95M;1.83%
10/22/2020;5450;5500;5550;5400;69.35M;-1.36%
10/21/2020;5525;5675;5725;5475;56.95M;-2.21%
10/20/2020;5650;5725;5750;5600;38.61M;-0.88%
10/19/2020;5700;5600;5725;5575;29.47M;2.24%
10/16/2020;5575;5600;5650;5450;33.91M;-0.45%
10/15/2020;5600;5700;5750;5600;38.64M;-3.03%
10/14/2020;5775;5725;5775;5625;54.89M;1.76%
10/13/2020;5675;5625;5675;5525;34.93M;0.89%
10/12/2020;5625;5575;5650;5550;38.97M;1.35%
10/09/2020;5550;5450;5575;5450;45.12M;1.83%
10/08/2020;5450;5550;5575;5425;44.38M;-1.80%
10/07/2020;5550;5400;5550;5375;44.37M;0.91%
10/06/2020;5500;5500;5550;5450;44.55M;2.80%
10/05/2020;5350;5250;5375;5175;37.15M;2.88%
10/02/2020;5200;5175;5225;5000;49.57M;0.00%
10/01/2020;5200;5000;5200;4980;39.48M;4.84%
09/30/2020;4960;5100;5150;4860;75.76M;-2.27%
09/29/2020;5075;5200;5250;5025;55.66M;-1.46%
09/28/2020;5150;5400;5425;5150;49.85M;-3.74%
09/25/2020;5350;5200;5350;5075;70.23M;5.42%
09/24/2020;5075;5050;5150;5000;60.98M;-2.40%
09/23/2020;5200;5300;5375;5125;42.36M;-1.89%
09/22/2020;5300;5300;5425;5275;56.80M;-3.20%
09/21/2020;5475;5575;5625;5400;26.47M;-1.79%
09/18/2020;5575;5575;5675;5500;45.80M;0.00%
09/17/2020;5575;5600;5750;5525;38.22M;-1.33%
09/16/2020;5650;5750;5750;5625;28.97M;-0.44%
09/15/2020;5675;5750;5825;5600;64.46M;-1.30%
09/14/2020;5750;5475;5775;5475;71.78M;5.02%
09/11/2020;5475;5050;5525;5050;135.58M;1.86%
09/10/2020;5375;5525;5525;5375;86.39M;-6.93%
09/09/2020;5775;5900;5900;5750;49.14M;-3.35%
09/08/2020;5975;5900;6000;5875;30.17M;2.14%
